time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
517,488.0,3.2300009727478027,1,0,512,,,,,,,,,,,,
488,352.0,3.4100005626678467,2,2,1024,-0.04189550131559372,4,0.2,0.0040687122,0.00025,-1.6078769341111183,0.04670564937987365,0.00439453125,-0.28376662731170654,-0.009331959008704871,,
501,441.3333333333333,2.133334159851074,3,3,1536,-0.010322225280106068,8,0.2,0.0041275225,0.00025,-1.6013697385787964,0.04701022311928682,0.00244140625,0.33189857006073,-0.0031536844035144895,,
509,400.8,2.6760008335113525,4,4,2048,0.015477584674954414,12,0.2,0.005617834,0.00025,-1.5963022485375404,0.08207768580177799,0.0,-0.2034062147140503,-0.005332885775715113,,
513,406.6666666666667,2.831667184829712,5,4,2560,-0.03146837279200554,16,0.2,0.0048211,0.00025,-1.5940853767096996,0.05791475938167423,0.01513671875,0.2589120864868164,-0.00627171277301386,,
515,378.0,3.012857675552368,6,5,3072,-0.04491189867258072,20,0.2,0.0027932127,0.00025,-1.5979076735675335,0.02554086214513518,0.0,0.3481907844543457,-0.00628067841171287,,
513,393.1111111111111,2.6833338737487793,7,6,3584,-0.008132193237543106,24,0.2,0.0076811844,0.00025,-1.577557060867548,0.022946979297557846,0.083984375,0.5809499025344849,-0.012190152599941939,,
508,384.4,2.752000570297241,8,8,4096,-0.02809828892350197,28,0.2,0.005592811,0.00025,-1.5714071094989777,0.10264033055864275,0.017578125,0.3386526107788086,-0.007761999091599137,,
505,368.3333333333333,2.9083337783813477,9,9,4608,-0.02842661179602146,32,0.2,0.0065507977,0.00025,-1.5480024479329586,0.029363131732679904,0.02734375,0.49624961614608765,-0.010360670858062804,,
503,361.57142857142856,3.1028575897216797,10,10,5120,-0.00267584715038538,36,0.2,0.007884325,0.00025,-1.546369805932045,0.045410740276565775,0.0419921875,0.6966692209243774,-0.008252126863226295,,
