time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,eval/mean_reward,eval/mean_ep_length
506,1,1,512,,,,,,,,,,,,,,
446,2,2,1024,640.0,0.03137765268184012,0.00025,-0.00255418848246336,0.0,-3.839998245239258,-15.10763168334961,4,-1.6089007817208767,0.2,0.0011494682,-0.027103174477815628,,
470,3,3,1536,640.0,0.029654180631041527,0.00025,-0.0014465672429651022,0.0,-3.964998245239258,5.900859832763672e-05,8,-1.6066916175186634,0.2,0.0007262139,-0.01721363514661789,,
485,4,4,2048,640.0,0.023234054358908907,0.00025,-0.003040937619516626,0.0,-4.07999849319458,0.011654257774353027,12,-1.607024073600769,0.2,0.0020560124,-0.006097432225942612,,
492,5,5,2560,640.0,0.032058771001175046,0.00025,-0.00572802874376066,0.00048828125,-3.9749982357025146,-0.12305736541748047,16,-1.6056817136704922,0.2,0.004310119,-0.023885786533355713,,
497,6,6,3072,640.0,0.026016731426352635,0.00025,-0.008598499232903123,0.02880859375,-3.9749982357025146,0.018277466297149658,20,-1.5971039421856403,0.2,0.0068228613,-0.02023807168006897,,
493,7,7,3584,640.0,0.002613077016576426,0.00025,-0.0072563216963317245,0.02392578125,-4.061997890472412,-1.2962098121643066,24,-1.584761157631874,0.2,0.0063036005,-0.0101832440122962,,
492,8,8,4096,640.0,0.02865925799414981,0.00025,-0.005519311933312565,0.0263671875,-4.139997959136963,-0.13453471660614014,28,-1.5740333497524261,0.2,0.0069209835,-0.033137548714876175,,
491,9,9,4608,640.0,0.028387188562192023,0.00025,-0.009292394330259413,0.0224609375,-4.165712356567383,0.005253791809082031,32,-1.5724287629127502,0.2,0.0071817786,-0.022565316408872604,,
489,10,10,5120,640.0,0.03275772542110644,0.00025,-0.011120225477498025,0.1015625,-4.244997978210449,-0.5394250154495239,36,-1.5424857214093208,0.2,0.015566213,-0.014335297048091888,,
488,11,11,5632,640.0,0.030873298295773566,0.00025,-0.002546712086768821,0.0,-4.244997978210449,-0.03479409217834473,40,-1.4967848919332027,0.2,0.0026633295,-0.002875756472349167,,
486,12,12,6144,640.0,0.001572275924445421,0.00025,-0.009893858805298805,0.06640625,-4.292220115661621,-7.5351762771606445,44,-1.52015545591712,0.2,0.014850488,-0.004448960535228252,,
483,13,13,6656,640.0,0.03056984272552654,0.00025,-0.001011609856504947,0.0,-4.3059983253479,0.002167940139770508,48,-1.5434025675058365,0.2,0.0017796549,-0.015047919936478138,,
481,14,14,7168,640.0,0.02674483531154692,0.00025,-0.004521759110502899,0.005859375,-4.327270984649658,0.06151092052459717,52,-1.5520033575594425,0.2,0.0048280447,-0.0055629294365644455,,
480,15,15,7680,638.1666666666666,0.0267029253882356,0.00025,-0.012818926945328712,0.05126953125,-4.194998264312744,0.006623327732086182,56,-1.5524959079921246,0.2,0.009843145,-0.047155097126960754,,
479,17,16,8192,638.1666666666666,0.02901932309032418,0.00025,-0.006594576989300549,0.06396484375,-4.194998264312744,-0.25148260593414307,60,-1.5704159401357174,0.2,0.00540137,-0.040757954120635986,,
479,18,17,8704,636.6153846153846,0.007595926261274144,0.00025,-0.01701372765819542,0.10302734375,-4.1146135330200195,-1.3797965049743652,64,-1.5574653968214989,0.2,0.010241177,-0.05020824074745178,,
478,19,18,9216,633.0,0.03194371648714878,0.00025,-0.012428012385498732,0.0693359375,-4.048569679260254,0.03007572889328003,68,-1.5592577494680882,0.2,0.007908907,-0.04846196621656418,,
477,20,19,9728,633.4666666666667,0.017834370621130802,0.00025,-0.013503056776244193,0.10400390625,-4.0439982414245605,0.4178553819656372,72,-1.557453203946352,0.2,0.008027301,-0.04135247319936752,,
476,21,20,10240,633.875,0.0233553043944994,0.00025,-0.018337598972721025,0.14404296875,-4.0318732261657715,0.08772039413452148,76,-1.5179639272391796,0.2,0.011599293,-0.04605143517255783,,
476,22,21,10752,633.875,0.02242905205639545,0.00025,-0.012824417237425223,0.09228515625,-4.0318732261657715,0.16157209873199463,80,-1.5287422388792038,0.2,0.009407049,-0.035352714359760284,,
475,23,22,11264,633.6470588235294,0.00822354169213213,0.00025,-0.020447483868338168,0.12744140625,-3.9899983406066895,-0.7119520902633667,84,-1.5353653877973557,0.2,0.011880383,-0.03734641522169113,,
475,24,23,11776,632.0,0.01459995119512314,0.00025,-0.023972084862180054,0.109375,-3.9566650390625,0.22241449356079102,88,-1.5429594665765762,0.2,0.013163832,-0.056751616299152374,,
475,25,24,12288,628.5263157894736,0.032766608317615464,0.00025,-0.021645456843543798,0.20068359375,-3.8515772819519043,0.18400222063064575,92,-1.5444758385419846,0.2,0.0178235,-0.04644782096147537,,
