time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
29,0.1241052895784378,31,14848,155.26315789473685,471,-0.13510775566101074,-1.425046507269144,112,0.2,0.00025,0.20361328125,0.021852333,0.008602960602729581,-0.035202579223550856,-0.07199881970882416,,
,,,15000,,,-0.0025075674057006836,-1.4341245219111443,116,0.2,0.00025,0.21630859375,0.019400995,0.013058954384177923,-0.033270911721047014,-0.09578411281108856,99.6,1.4960000090301038
30,0.14121215045452118,33,15360,154.9090909090909,463,,,,,,,,,,,,
31,0.1559000164270401,34,15872,154.5,464,0.08228945732116699,-1.4417426213622093,120,0.2,0.00025,0.1796875,0.0223187,0.009408078491105698,-0.04180113959591836,-0.1018633022904396,,
32,0.19600002467632294,35,16384,153.88,465,-0.15907049179077148,-1.3941611498594284,124,0.2,0.00025,0.23828125,0.03190984,0.011918958829483017,-0.04799917415948585,-0.10461936146020889,,
33,0.21320004761219025,36,16896,153.52,466,-0.14786648750305176,-1.4161679781973362,128,0.2,0.00025,0.224609375,0.01629151,0.03953039483167231,-0.026714066683780402,-0.03477936238050461,,
34,0.2372000366449356,37,17408,152.6,466,0.0265885591506958,-1.361355472356081,132,0.2,0.00025,0.2353515625,0.028843291,0.015974769019521773,-0.034368850057944655,-0.0971578061580658,,
35,0.2590000331401825,38,17920,152.26,467,0.1728648543357849,-1.356482408940792,136,0.2,0.00025,0.18115234375,0.02459943,0.010694499185774475,-0.03895059536444023,-0.09537047147750854,,
36,0.29190003871917725,39,18432,150.68,467,0.019552886486053467,-1.3475258462131023,140,0.2,0.00025,0.26416015625,0.028388137,0.013378544681472704,-0.037593515997286886,-0.10413059592247009,,
37,0.29830002784729004,40,18944,150.28,468,0.04178333282470703,-1.3180133290588856,144,0.2,0.00025,0.16357421875,0.020983111,0.04343723977217451,-0.031489710381720215,-0.07272464781999588,,
38,0.315900057554245,41,19456,149.86,469,0.04222846031188965,-1.2504522390663624,148,0.2,0.00025,0.22900390625,0.02457764,0.016533911955775693,-0.030332552210893482,-0.08088608831167221,,
39,0.3671000301837921,42,19968,149.08,469,0.08868372440338135,-1.2783102951943874,152,0.2,0.00025,0.2255859375,0.027913075,0.014668526506284252,-0.029825375822838396,-0.08047089725732803,,
,,,20000,,,-0.031075119972229004,-1.3039942905306816,156,0.2,0.00025,0.21630859375,0.02929432,0.057244862196967006,-0.03156363370362669,-0.0709175392985344,105.2,1.1000000081956387
40,0.3994000554084778,44,20480,147.86,463,,,,,,,,,,,,
41,0.4041000008583069,45,20992,147.6,464,0.06131136417388916,-1.2191125340759754,160,0.2,0.00025,0.240234375,0.03365582,0.04459957993822172,-0.021932849602308124,-0.06000005081295967,,
42,0.44339999556541443,46,21504,146.52,465,-0.659239649772644,-1.2373595759272575,164,0.2,0.00025,0.244140625,0.026085109,0.014843963101156987,-0.026011398760601878,-0.06478284299373627,,
43,0.5439000725746155,47,22016,144.14,465,-0.08438527584075928,-1.2336252592504025,168,0.2,0.00025,0.2275390625,0.029547172,0.057646926725283265,-0.03241015729145147,-0.06391368806362152,,
44,0.5674000978469849,48,22528,143.6,465,0.048092007637023926,-1.2147508189082146,172,0.2,0.00025,0.232421875,0.035130844,0.09822922642342746,-0.03439753834391013,-0.04924451559782028,,
45,0.6385000348091125,49,23040,141.5,466,0.04027289152145386,-1.2678887285292149,176,0.2,0.00025,0.26806640625,0.035822142,0.039319246367085725,-0.03606399495038204,-0.08148684352636337,,
46,0.7086999416351318,50,23552,138.62,467,0.15341508388519287,-1.2178635746240616,180,0.2,0.00025,0.2646484375,0.03477455,0.07293762103654444,-0.034110357926692814,-0.05813194438815117,,
47,0.7815001010894775,51,24064,136.68,467,0.08656316995620728,-1.2135360203683376,184,0.2,0.00025,0.22802734375,0.02500366,0.0755249181529507,-0.030797814426478,-0.0651405081152916,,
48,0.8575000166893005,52,24576,133.9,467,0.05789649486541748,-1.2248098962008953,188,0.2,0.00025,0.26513671875,0.038390756,0.06597198557574302,-0.03887731162831187,-0.0712483674287796,,
,,,25000,,,0.15662193298339844,-1.1592964120209217,192,0.2,0.00025,0.22900390625,0.036663733,0.07069543184479699,-0.033710157265886664,-0.06763669848442078,86.4,1.640000008046627
49,0.8819000124931335,54,25088,132.82,464,,,,,,,,,,,,
50,0.9261000752449036,55,25600,131.58,464,0.26750272512435913,-1.1920004524290562,196,0.2,0.00025,0.26708984375,0.034856208,0.05922780651599169,-0.023745938640786335,-0.0601029098033905,,
51,0.9787001013755798,56,26112,130.6,464,0.29459148645401,-1.2430896759033203,200,0.2,0.00025,0.26708984375,0.03607276,0.04912781051825732,-0.03263086243532598,-0.0645039975643158,,
52,0.9911001324653625,57,26624,129.86,464,0.3040834665298462,-1.2868213653564453,204,0.2,0.00025,0.17919921875,0.022569552,0.05235182330943644,-0.03459535978618078,-0.09237459301948547,,
53,1.0139001607894897,58,27136,128.94,465,0.5105040073394775,-1.2988724149763584,208,0.2,0.00025,0.25634765625,0.028079337,0.039480555220507085,-0.03244150971295312,-0.08117519319057465,,
54,1.0345001220703125,59,27648,128.42,465,0.2526242733001709,-1.290355134755373,212,0.2,0.00025,0.228515625,0.030568361,0.05320005235262215,-0.037402060464955866,-0.058284446597099304,,
55,1.057900071144104,60,28160,127.36,466,0.24603283405303955,-1.2512297555804253,216,0.2,0.00025,0.24365234375,0.033473924,0.04248890490271151,-0.03163060738006607,-0.06681379675865173,,
56,1.041100025177002,61,28672,127.72,466,0.2566404342651367,-1.2484405413269997,220,0.2,0.00025,0.28369140625,0.03470118,0.04198130173608661,-0.0325239026278723,-0.09233243763446808,,
57,1.1373000144958496,62,29184,123.92,467,0.18478858470916748,-1.2264172807335854,224,0.2,0.00025,0.25927734375,0.032192558,0.02474122605053708,-0.03697831439785659,-0.1050688847899437,,
58,1.1615999937057495,63,29696,123.28,467,-0.00041353702545166016,-1.2325752563774586,228,0.2,0.00025,0.25732421875,0.031213885,0.10256910556927323,-0.03582735266536474,-0.07676969468593597,,
,,,30000,,,0.27495312690734863,-1.1807889975607395,232,0.2,0.00025,0.24267578125,0.036501437,0.05004967481363565,-0.03586673832614906,-0.0760752335190773,123.2,0.8860000092536211
59,1.2186000347137451,65,30208,120.64,462,,,,,,,,,,,,
60,1.2623001337051392,66,30720,119.6,463,0.33785825967788696,-1.1655828952789307,236,0.2,0.00025,0.2412109375,0.041327268,0.06313514488283545,-0.029011533712036908,-0.07227340340614319,,
61,1.3227001428604126,67,31232,117.46,463,0.48010921478271484,-1.1775285750627518,240,0.2,0.00025,0.2529296875,0.026278809,0.06680612487252802,-0.03828862507361919,-0.056030407547950745,,
62,1.320500135421753,68,31744,116.88,464,0.3801843523979187,-1.208333808928728,244,0.2,0.00025,0.2724609375,0.036904223,0.06624515540897846,-0.036542963120155036,-0.06863515824079514,,
63,1.3585000038146973,69,32256,115.66,464,0.017272889614105225,-1.2471946030855179,248,0.2,0.00025,0.275390625,0.029305339,0.04626517661381513,-0.033093036647187546,-0.054197296500205994,,
64,1.3720000982284546,70,32768,114.76,465,0.30293387174606323,-1.1708467416465282,252,0.2,0.00025,0.23388671875,0.044794817,0.06688261462841183,-0.0339904684224166,-0.06293155252933502,,
65,1.3468000888824463,71,33280,113.96,465,0.36085689067840576,-1.1900103501975536,256,0.2,0.00025,0.2470703125,0.033904687,0.05325419083237648,-0.035078404122032225,-0.10203734785318375,,
66,1.363700270652771,72,33792,113.28,466,0.402360200881958,-1.166093822568655,260,0.2,0.00025,0.22265625,0.035937183,0.0677432338707149,-0.04101178247947246,-0.07760389149188995,,
67,1.3446999788284302,73,34304,113.74,466,-0.020383477210998535,-1.1601406037807465,264,0.2,0.00025,0.2431640625,0.030430038,0.06789348472375423,-0.03491787766688503,-0.03712208569049835,,
68,1.3746001720428467,74,34816,112.2,466,0.37131553888320923,-1.1862651780247688,268,0.2,0.00025,0.25927734375,0.03938404,0.0521058434387669,-0.04154466307954863,-0.07104232907295227,,
,,,35000,,,0.4443369507789612,-1.0916293002665043,272,0.2,0.00025,0.21826171875,0.04131782,0.07556469785049558,-0.040872135665267706,-0.09066388010978699,78.8,1.598000008240342
69,1.3907999992370605,76,35328,110.88,464,,,,,,,,,,,,
70,1.391200304031372,77,35840,110.56,464,0.4502859115600586,-1.063781538978219,276,0.2,0.00025,0.255859375,0.042272925,0.06672777701169252,-0.032532217795960605,-0.05717785283923149,,
71,1.4124000072479248,78,36352,110.08,465,0.5047311186790466,-1.128421101719141,280,0.2,0.00025,0.25830078125,0.03207512,0.06734681245870888,-0.03506643121363595,-0.08552703261375427,,
72,1.4589003324508667,79,36864,107.22,465,0.3941118121147156,-1.1511022448539734,284,0.2,0.00025,0.25439453125,0.044375442,0.05640513845719397,-0.034187993383966386,-0.05515466257929802,,
73,1.5469999313354492,80,37376,103.8,465,0.17689192295074463,-1.1143485270440578,288,0.2,0.00025,0.27783203125,0.055094365,0.08025983371771872,-0.04010847400058992,-0.0372481495141983,,
74,1.5665000677108765,81,37888,102.48,466,0.23748654127120972,-1.0522575434297323,292,0.2,0.00025,0.23095703125,0.033469338,0.0571571298642084,-0.02799302019411698,-0.05926990136504173,,
75,1.6150000095367432,82,38400,100.88,466,0.44614070653915405,-1.1304782889783382,296,0.2,0.00025,0.2763671875,0.04269347,0.06056222936604172,-0.030297885183244944,-0.072896808385849,,
76,1.6546002626419067,83,38912,98.78,466,0.23734164237976074,-1.1255405433475971,300,0.2,0.00025,0.224609375,0.037122697,0.06498831498902291,-0.031006147910375148,-0.05896222963929176,,
77,1.6543000936508179,84,39424,98.46,467,0.5752023458480835,-1.1362179815769196,304,0.2,0.00025,0.23974609375,0.040567398,0.05176168226171285,-0.0300387863535434,-0.09061775356531143,,
78,1.6393001079559326,85,39936,99.18,467,0.5791954398155212,-1.0954220667481422,308,0.2,0.00025,0.248046875,0.039424054,0.05396228504832834,-0.037272567686159164,-0.06902603805065155,,
,,,40000,,,0.5399395227432251,-1.1854237727820873,312,0.2,0.00025,0.26025390625,0.040727194,0.06711071892641485,-0.03788840223569423,-0.09732840210199356,62.4,2.3120000079274177
79,1.6946001052856445,86,40448,96.58,465,,,,,,,,,,,,
80,1.6764999628067017,87,40960,96.8,466,0.10502266883850098,-1.0962278507649899,316,0.2,0.00025,0.2431640625,0.03288357,0.04662322020158172,-0.020181540749035776,-0.07857823371887207,,
81,1.7344000339508057,88,41472,93.84,466,0.6136623024940491,-1.1916785351932049,320,0.2,0.00025,0.26318359375,0.028009035,0.04458346526371315,-0.030916739808162674,-0.06656903773546219,,
82,1.7688002586364746,89,41984,92.34,466,0.45484495162963867,-1.1363870427012444,324,0.2,0.00025,0.27197265625,0.03625276,0.05013904330553487,-0.032850114395841956,-0.07734976708889008,,
83,1.7883999347686768,91,42496,91.38,466,0.497657835483551,-1.1803819388151169,328,0.2,0.00025,0.23828125,0.043821346,0.06324586155824363,-0.04363289420143701,-0.07611218094825745,,
84,1.8303003311157227,92,43008,89.66,467,0.5102846622467041,-1.1222470700740814,332,0.2,0.00025,0.263671875,0.037993263,0.07201821357011795,-0.03154722513863817,-0.07247667759656906,,
85,1.8454002141952515,93,43520,88.74,467,0.41439902782440186,-1.1892525479197502,336,0.2,0.00025,0.29150390625,0.047502607,0.069165752036497,-0.03439826954854652,-0.09359003603458405,,
86,1.8779003620147705,94,44032,87.4,467,0.4788740277290344,-1.0567853804677725,340,0.2,0.00025,0.25537109375,0.046651818,0.06905588298104703,-0.03361642936943099,-0.07571373879909515,,
87,1.9298001527786255,95,44544,84.6,467,0.29940247535705566,-1.0791205689311028,344,0.2,0.00025,0.23486328125,0.036446083,0.03346344211604446,-0.027928061841521412,-0.06704603135585785,,
,,,45000,,,0.452021062374115,-1.1001754589378834,348,0.2,0.00025,0.2587890625,0.047709808,0.0372208520420827,-0.03913784780888818,-0.11058329045772552,54.8,2.332000007480383
88,1.9385000467300415,96,45056,84.42,466,,,,,,,,,,,,
89,1.9392002820968628,97,45568,84.12,466,0.4517967104911804,-1.1387546882033348,352,0.2,0.00025,0.30859375,0.05240874,0.056572408648207784,-0.03280331374844536,-0.07294999063014984,,
90,1.9646002054214478,98,46080,83.16,467,0.5310856103897095,-1.0358696915209293,356,0.2,0.00025,0.22216796875,0.03274285,0.04958349571097642,-0.0320088051375933,-0.049885343760252,,
91,1.9662002325057983,99,46592,82.46,467,0.5332560539245605,-1.0472918078303337,360,0.2,0.00025,0.23193359375,0.04624345,0.050111296644899994,-0.03136256747529842,-0.07422870397567749,,
92,2.0146002769470215,100,47104,81.12,467,0.7522668838500977,-1.0584829933941364,364,0.2,0.00025,0.27587890625,0.056134805,0.03574561717687175,-0.03578316484345123,-0.0753457173705101,,
93,2.009000301361084,101,47616,81.18,467,0.3137120008468628,-1.0978371873497963,368,0.2,0.00025,0.23779296875,0.042599447,0.03375462687108666,-0.03388911363435909,-0.0878530740737915,,
94,2.0413002967834473,102,48128,79.54,468,0.4314967393875122,-1.129461120814085,372,0.2,0.00025,0.29638671875,0.040250283,0.0693638704251498,-0.04043756818282418,-0.059902019798755646,,
95,2.0248003005981445,103,48640,80.84,468,-0.17776823043823242,-1.094087790697813,376,0.2,0.00025,0.24365234375,0.044129066,0.036311531031969935,-0.030163688643369824,-0.0699746161699295,,
96,2.0231001377105713,104,49152,81.34,469,0.2374938726425171,-1.1069280877709389,380,0.2,0.00025,0.26953125,0.047007956,0.060689134523272514,-0.03172007662942633,-0.08294391632080078,,
97,2.023900032043457,105,49664,80.64,469,0.5371297597885132,-1.1262094341218472,384,0.2,0.00025,0.32421875,0.038728155,0.059839337947778404,-0.03443387208972126,-0.0721997395157814,,
,,,50000,,,0.5198197364807129,-1.0896470732986927,388,0.2,0.00025,0.2802734375,0.037164293,0.058677867986261845,-0.02181733417091891,-0.07126127183437347,100.4,1.290000009164214
98,2.025099992752075,107,50176,80.58,466,,,,,,,,,,,,
99,2.023400068283081,108,50688,80.94,466,0.601091206073761,-1.1621278412640095,392,0.2,0.00025,0.29052734375,0.04297211,0.08161581552121788,-0.03605388756841421,-0.10033067315816879,,
100,2.042099952697754,109,51200,80.66,467,0.5790725946426392,-1.1044469252228737,396,0.2,0.00025,0.29541015625,0.04886659,0.07073949079494923,-0.03206497780047357,-0.037995196878910065,,
101,2.0256001949310303,110,51712,81.7,467,0.34157347679138184,-1.1172822825610638,400,0.2,0.00025,0.26904296875,0.044279948,0.061050050193443894,-0.03002026816830039,-0.06864829361438751,,
102,2.0099000930786133,111,52224,81.68,467,0.3469800353050232,-1.140845712274313,404,0.2,0.00025,0.26806640625,0.036888883,0.07670978794340044,-0.040281413530465215,-0.06942251324653625,,
103,1.9925001859664917,112,52736,83.04,467,0.5358407497406006,-1.0402624886482954,408,0.2,0.00025,0.244140625,0.035814796,0.05778610904235393,-0.025821979070315138,-0.0607922226190567,,
104,2.0231001377105713,113,53248,81.34,468,0.3881158232688904,-1.0637087170034647,412,0.2,0.00025,0.27392578125,0.033656985,0.06344318366609514,-0.04138408519793302,-0.06853513419628143,,
105,1.990299940109253,114,53760,82.88,468,0.626246452331543,-1.093215823173523,416,0.2,0.00025,0.28076171875,0.047551118,0.04979176784399897,-0.028462490357924253,-0.09365865588188171,,
106,1.9580999612808228,115,54272,84.28,468,0.6718906164169312,-1.0794939510524273,420,0.2,0.00025,0.3291015625,0.041988038,0.06701208150479943,-0.034365714993327856,-0.06288207322359085,,
107,1.924100399017334,116,54784,85.32,468,0.540876030921936,-1.1026931293308735,424,0.2,0.00025,0.28564453125,0.048990663,0.07227740436792374,-0.033996399375610054,-0.05066341906785965,,
,,,55000,,,0.690360426902771,-1.124222058802843,428,0.2,0.00025,0.2509765625,0.030391019,0.06553633348084986,-0.03457079964573495,-0.07876379787921906,73.2,2.012000007927418
108,1.9113999605178833,118,55296,84.4,467,,,,,,,,,,,,
109,1.8949002027511597,119,55808,86.72,467,0.6112514734268188,-1.135799665004015,432,0.2,0.00025,0.236328125,0.03587809,0.07170245540328324,-0.03884018340613693,-0.052308157086372375,,
110,1.8778001070022583,120,56320,88.64,467,0.3037574291229248,-1.184244316071272,436,0.2,0.00025,0.2724609375,0.03208257,0.06140227080322802,-0.02853904792573303,-0.083248570561409,,
111,1.850100040435791,121,56832,89.58,467,0.09667253494262695,-1.166866585612297,440,0.2,0.00025,0.27490234375,0.040046208,0.06180532346479595,-0.038617844256805256,-0.0786905288696289,,
112,1.8335002660751343,122,57344,90.64,467,0.461386501789093,-1.1791102848947048,444,0.2,0.00025,0.29736328125,0.043933675,0.040814730047713965,-0.03334687580354512,-0.07087156176567078,,
113,1.8707001209259033,123,57856,88.72,468,0.24431616067886353,-1.1232974454760551,448,0.2,0.00025,0.306640625,0.036946826,0.0783767745597288,-0.03090517147211358,-0.04710230603814125,,
114,1.8706998825073242,124,58368,89.52,468,0.5337576866149902,-1.0531157404184341,452,0.2,0.00025,0.29296875,0.04158164,0.05354753998108208,-0.02810315665556118,-0.07824872434139252,,
115,1.889799952507019,125,58880,89.42,468,0.4102442264556885,-1.0178118366748095,456,0.2,0.00025,0.2578125,0.046873853,0.05505170451942831,-0.0330161671154201,-0.048344992101192474,,
116,1.8601001501083374,126,59392,89.96,468,0.4633113145828247,-1.0293953344225883,460,0.2,0.00025,0.2763671875,0.039858796,0.05223602487239987,-0.03560451083467342,-0.08381988853216171,,
117,1.8935000896453857,127,59904,88.48,468,0.5870375037193298,-1.048605103045702,464,0.2,0.00025,0.2431640625,0.0393243,0.0547524414723739,-0.02882702724309638,-0.08532252907752991,,
,,,60000,,,0.3601377606391907,-1.0001270733773708,468,0.2,0.00025,0.26611328125,0.045443792,0.05572628986556083,-0.02966671989997849,-0.06309521198272705,48.8,2.3540000069886444
118,1.8947999477386475,129,60416,86.94,467,,,,,,,,,,,,
119,1.9120001792907715,130,60928,86.66,468,0.5684241652488708,-1.026054359972477,472,0.2,0.00025,0.29150390625,0.0460207,0.06673341721761972,-0.02780927566345781,-0.07028616219758987,,
120,1.9127001762390137,131,61440,86.76,468,0.3502563238143921,-1.0104043204337358,476,0.2,0.00025,0.25830078125,0.041897446,0.04303219815483317,-0.036215166677720845,-0.07339907437562943,,
121,1.914500117301941,132,61952,87.0,468,0.5614762306213379,-1.0328613091260195,480,0.2,0.00025,0.2744140625,0.038273476,0.039256197516806424,-0.04147125454619527,-0.07873731851577759,,
122,1.914599895477295,133,62464,86.72,468,0.3171849250793457,-1.0627521965652704,484,0.2,0.00025,0.29150390625,0.04849167,0.05468876473605633,-0.024237186182290316,-0.09351541101932526,,
123,1.9800000190734863,134,62976,83.96,468,0.6941564083099365,-1.1053568720817566,488,0.2,0.00025,0.26171875,0.03239069,0.0516055712942034,-0.03604735538829118,-0.08980081230401993,,
124,1.9624000787734985,135,63488,85.86,468,0.7423055768013,-1.0299656111747026,492,0.2,0.00025,0.24365234375,0.034132525,0.04326134268194437,-0.03325172123732045,-0.07309076935052872,,
125,1.9920998811721802,136,64000,85.26,469,0.6312434673309326,-1.075166016817093,496,0.2,0.00025,0.26220703125,0.044839308,0.0641557335620746,-0.03484891133848578,-0.06412506848573685,,
126,1.9714001417160034,137,64512,84.42,469,0.6770491003990173,-1.102410964667797,500,0.2,0.00025,0.26953125,0.040200032,0.04472144943429157,-0.03550821670796722,-0.06602874398231506,,
,,,65000,,,0.7593616247177124,-1.092245265841484,504,0.2,0.00025,0.28369140625,0.043427445,0.040202004136517644,-0.02593646082095802,-0.029276346787810326,57.6,2.348000007122755
127,2.0176000595092773,138,65024,83.14,468,,,,,,,,,,,,
128,2.014200210571289,139,65536,82.68,468,0.285442590713501,-1.102144755423069,508,0.2,0.00025,0.33203125,0.04752138,0.0855818527052179,-0.043333990208338946,-0.0657733902335167,,
129,2.0308003425598145,140,66048,81.98,468,0.5345437526702881,-1.0429384596645832,512,0.2,0.00025,0.31982421875,0.052056566,0.04876523558050394,-0.03226340006222017,-0.056718308478593826,,
130,2.0313000679016113,141,66560,81.44,468,0.22844094038009644,-0.9638279527425766,516,0.2,0.00025,0.24560546875,0.03963572,0.03638886334374547,-0.031184107181616127,-0.06456375122070312,,
131,2.0785999298095703,143,67072,78.44,468,0.18402111530303955,-1.0119981337338686,520,0.2,0.00025,0.26318359375,0.05195281,0.05742850311798975,-0.03309792565414682,-0.06489583104848862,,
132,2.0782999992370605,144,67584,78.24,468,0.41681939363479614,-0.9285329170525074,524,0.2,0.00025,0.251953125,0.043326028,0.025113165378570557,-0.020799955789698288,-0.06978574395179749,,
133,2.0778002738952637,145,68096,80.26,469,0.5397288799285889,-1.0191273652017117,528,0.2,0.00025,0.2919921875,0.05238822,0.05155622446909547,-0.032344711653422564,-0.08338117599487305,,
134,2.1095001697540283,146,68608,79.66,469,0.35504311323165894,-0.9737803563475609,532,0.2,0.00025,0.27783203125,0.05123897,0.02405762195121497,-0.026171604578848928,-0.07748118042945862,,
135,2.1082000732421875,147,69120,78.12,469,0.5100390315055847,-1.0085046999156475,536,0.2,0.00025,0.267578125,0.040860243,0.022596405673539266,-0.021116140589583665,-0.04450210928916931,,
136,2.125500202178955,148,69632,76.08,469,0.607577919960022,-0.9747328907251358,540,0.2,0.00025,0.220703125,0.05968495,0.04345560306683183,-0.027659477724228054,-0.03921506926417351,,
,,,70000,,,0.6829650402069092,-0.9269678387790918,544,0.2,0.00025,0.25634765625,0.039683953,0.0253602399607189,-0.034167368488851935,-0.05943423509597778,78.0,2.302000008150935
137,2.159100294113159,149,70144,75.16,468,,,,,,,,,,,,
138,2.158600091934204,150,70656,75.16,468,0.6820133924484253,-0.9774060565978289,548,0.2,0.00025,0.21875,0.04833297,0.03168033785186708,-0.028784440946765244,-0.07170873135328293,,
