time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,398,4.0,1,512,138.0,,,,,,,,,,,,
2,377,4.00600004196167,2,1024,137.6,4,-0.006515978631796315,-0.35133278369903564,0.0,-1.6079401262104511,0.2,0.00404025,-0.008173754438757896,0.14473346259910613,0.00025,,
3,385,3.461250066757202,3,1536,185.5,8,-0.004119634308153763,0.13437515497207642,0.0,-1.5998486541211605,0.2,0.0029333853,0.0004383902996778488,0.07568297733087093,0.00025,,
5,386,3.5330002307891846,4,2048,201.6,12,-0.004593142890371382,0.2859092354774475,0.0,-1.598963100463152,0.2,0.004665967,-0.0025762226432561874,0.14887721871491522,0.00025,,
6,388,3.6083335876464844,5,2560,197.16666666666666,16,-0.007222152169561014,0.6043594479560852,0.0126953125,-1.6015431992709637,0.2,0.005022715,0.008161064237356186,0.042739279713714495,0.00025,,
7,388,3.582857370376587,6,3072,210.28571428571428,20,-0.01348849362693727,0.5460009574890137,0.076171875,-1.5994932800531387,0.2,0.01078677,-0.028873974457383156,0.04165801114868373,0.00025,,
9,385,3.645625114440918,7,3584,202.375,24,-0.011484912160085514,0.8691536784172058,0.0859375,-1.590221744030714,0.2,0.0076982956,-0.05653751641511917,0.042384893575217575,0.00025,,
10,382,3.5510528087615967,8,4096,208.52631578947367,28,-0.019449404178885743,0.7832092642784119,0.10400390625,-1.5942077413201332,0.2,0.009298442,-0.013330208137631416,0.038569467404158786,0.00025,,
12,381,3.597618818283081,9,4608,207.71428571428572,32,-0.012403847969835624,0.7080729007720947,0.0224609375,-1.5922344326972961,0.2,0.0049962276,-0.015445180237293243,0.09107691736426204,0.00025,,
13,377,3.4858334064483643,10,5120,213.33333333333334,36,-0.015792975551448762,0.6091451644897461,0.0361328125,-1.5854026228189468,0.2,0.007554189,-0.05152030289173126,0.02370614733081311,0.00025,,
14,378,3.5366668701171875,11,5632,205.11111111111111,40,-0.00629728491185233,0.693038284778595,0.13720703125,-1.5737858898937702,0.2,0.008632602,0.0378342866897583,0.10084016539622098,0.00025,,
16,378,3.6280648708343506,12,6144,197.93548387096774,44,-0.009818021528190002,0.8401820063591003,0.08544921875,-1.5777185261249542,0.2,0.0050309305,-0.043715156614780426,0.03301186559838243,0.00025,,
17,377,3.6964707374572754,13,6656,192.2941176470588,48,-0.011825902271084487,0.8043716549873352,0.08056640625,-1.5585300736129284,0.2,0.00682308,-0.040787309408187866,0.021835744322743267,0.00025,,
19,376,3.7697300910949707,14,7168,193.13513513513513,52,-0.01920180337037891,0.7247294187545776,0.08154296875,-1.5399071127176285,0.2,0.009763733,-0.04603133723139763,0.029550962790381163,0.00025,,
20,374,3.8102500438690186,15,7680,191.0,56,-0.018530314846429974,0.8457754254341125,0.13134765625,-1.545264933258295,0.2,0.008703362,-0.03372988849878311,0.04628498660167679,0.00025,,
21,373,3.812619209289551,16,8192,190.95238095238096,60,-0.01883587203337811,0.7858865261077881,0.07666015625,-1.5175106227397919,0.2,0.009715378,-0.06000301241874695,0.028401922492776066,0.00025,,
23,371,3.74045467376709,17,8704,195.13636363636363,64,-0.018502563587389886,0.7871910333633423,0.15576171875,-1.5098824091255665,0.2,0.018724214,-0.05564822256565094,0.028018863289617002,0.00025,,
