rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/n_updates,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
-0.039999984204769135,132.0,1,408,512,1,,,,,,,,,,,,
0.09500012546777725,212.0,2,392,1024,2,0.0019623246,0.00025,-1.4411003589630127,-0.032961755990982056,-0.004167007631622255,0.056304945290321484,0.0,0.2,4,-1.608402419835329,,
0.16142864525318146,215.71428571428572,3,380,1536,4,0.0018575467,0.00025,-0.18715596199035645,-0.03630351647734642,-0.00424925732659176,0.023587432835483924,0.0,0.2,8,-1.6066865250468254,,
0.15000005066394806,218.66666666666666,4,371,2048,5,0.0025247121,0.00025,0.3080875277519226,-0.028081106022000313,-0.005602998629910871,0.02862879757594783,0.0,0.2,12,-1.6062303967773914,,
0.15916670858860016,203.66666666666666,5,368,2560,6,0.002679558,0.00025,0.24815911054611206,-0.036452531814575195,-0.00693455379223451,0.010595599342195783,0.0,0.2,16,-1.6032888256013393,,
0.23625005781650543,187.0,6,368,3072,8,0.004537205,0.00025,0.34036576747894287,-0.05982489511370659,-0.011395552675821818,0.010631596043822356,0.01025390625,0.2,20,-1.5990924648940563,,
0.276315838098526,182.8421052631579,7,367,3584,9,0.0055691274,0.00025,0.3448295593261719,-0.06404613703489304,-0.012692080345004797,0.017602021078346297,0.01611328125,0.2,24,-1.5826880224049091,,
0.3550000488758087,183.0909090909091,8,365,4096,11,0.008832233,0.00025,-0.07669329643249512,-0.05009055510163307,-0.020856021932559088,0.014940878536435775,0.04248046875,0.2,28,-1.555211640894413,,
0.43760010600090027,179.2,9,364,4608,12,0.011802521,0.00025,-0.04249775409698486,-0.10248073190450668,-0.02792804397176951,0.010693104850361124,0.068359375,0.2,32,-1.5219380222260952,,
,,,,5000,,0.021850187,0.00025,-0.020708441734313965,-0.07603751122951508,-0.03255326219368726,0.021524205832974985,0.16162109375,0.2,36,-1.4748396500945091,0.6900000218302011,324.0
